,county,state,county_population,covid_hospital_admissions_per_100k,covid_cases_per_100k,lon,lat
33846,Hettinger County,North Dakota,2499.0,0.0,40.02,-102.4167046,46.4448014
33847,Perkins County,South Dakota,2865.0,0.0,0.0,-102.5053545,45.5288022
33848,Adams County,North Dakota,2216.0,0.0,0.0,-102.5315028,46.073286
33849,Slope County,North Dakota,750.0,0.0,0.0,-103.4507022,46.4464651
33850,Bowman County,North Dakota,3024.0,0.0,0.0,-103.5086625,46.1010498
33851,Harding County,South Dakota,1298.0,0.0,0.0,-103.4791412,45.5509163
33852,Mitchell County,Iowa,10586.0,0.0,103.91,-92.7840209,43.342033
33853,Clark County,Kentucky,36263.0,3.0,88.24,-84.1550145,37.9713791
33854,Knott County,Kentucky,14806.0,3.0,20.26,-82.9314574,37.3521946
33855,Perry County,Kentucky,25758.0,3.0,31.06,-83.1640699,37.2203608
33856,Jessamine County,Kentucky,54115.0,3.0,62.83,-84.576902,37.8652866
33857,Powell County,Kentucky,12359.0,3.0,80.91,-83.8239902,37.8192526
33858,Wolfe County,Kentucky,7157.0,3.0,13.97,-83.4868591,37.7430509
33859,Woodford County,Kentucky,26734.0,3.0,82.29,-84.7404532,38.0686424
33860,Breathitt County,Kentucky,12630.0,3.0,7.92,-83.2943551,37.5248869
33861,Fayette County,Kentucky,323152.0,3.0,112.02,-84.4722444,38.0280648
33862,Lee County,Kentucky,7403.0,3.0,27.02,-83.7073043,37.6001442
33863,Leslie County,Kentucky,9877.0,3.0,0.0,-83.3750732,37.082981
33864,Owsley County,Kentucky,4415.0,3.0,0.0,-83.681994,37.4082295
33865,Scott County,Kentucky,57004.0,3.0,105.26,-84.5816131,38.2776401
33866,Clearfield County,Pennsylvania,79255.0,8.1,79.49,-78.4457422,40.9908706
33867,Centre County,Pennsylvania,162385.0,8.1,113.31,-77.7865722,40.9381735
33868,Jefferson County,Pennsylvania,43425.0,8.1,75.99,-79.0163349,41.1125398
33869,Amelia County,Virginia,13145.0,3.6,53.25,-78.008448,37.3319664
33870,Cumberland County,Virginia,9932.0,3.6,80.55,-78.2469202,37.5004191
33871,Essex County,Virginia,10953.0,3.6,73.04,-76.9326385,37.9140592
33872,Hanover County,Virginia,107766.0,3.6,149.4,-77.4464165,37.744783
33873,Henrico County,Virginia,330818.0,3.6,186.51,-77.3465081,37.5131191
33874,King William County,Virginia,17148.0,3.6,139.96,-77.0690284,37.6940722
33875,Colonial Heights City,Virginia,17370.0,3.6,178.47,-79.97326827634105,37.2456868
33876,Charlotte County,Virginia,11880.0,3.6,25.25,-78.6523968,37.0416273
33877,Chesterfield County,Virginia,352802.0,3.6,177.15,-77.578509,37.3859982
33878,Goochland County,Virginia,23753.0,3.6,105.25,-77.8837984,37.7204342
33879,Lancaster County,Virginia,10603.0,3.6,103.74,-76.4723233,37.7625738
33880,Middlesex County,Virginia,10582.0,3.6,141.75,-76.5904374,37.6221412
33881,New Kent County,Virginia,23091.0,3.6,103.94,-76.9964301,37.4971441
33882,Northumberland County,Virginia,12095.0,3.6,148.82,-76.4836686,37.9314992
33883,Prince Edward County,Virginia,22802.0,3.6,48.24,-78.4628573,37.2293293
33884,Richmond City,Virginia,230436.0,3.6,118.47,-77.4341592,37.5397286
33885,King and Queen County,Virginia,7025.0,3.6,28.47,-76.8794158,37.7196754
33886,Nottoway County,Virginia,15232.0,3.6,124.74,-78.0583926,37.1489448
33887,Charles City County,Virginia,6963.0,3.6,129.25,-77.0605098,37.3705777
33888,Powhatan County,Virginia,29652.0,3.6,80.94,-77.9112655,37.5531622
33889,Richmond County,Virginia,9023.0,3.6,77.58,-76.7161921,37.9476108
33890,Westmoreland County,Virginia,18015.0,3.6,38.86,-76.7567355,38.1153203
33891,Henderson County,Kentucky,45210.0,16.8,77.42,-87.5573742,37.76721
33892,Union County,Kentucky,14381.0,16.8,13.91,-87.958036,37.637247
33893,Chittenden County,Vermont,163774.0,17.1,455.51,-73.0673673,44.4531756
33894,Grand Isle County,Vermont,7235.0,17.1,248.79,-73.3042618,44.706737
33895,Addison County,Vermont,36777.0,17.1,271.91,-73.1491036,44.0285618
33896,Franklin County,Vermont,49402.0,17.1,336.02,-72.87436185697103,44.82506505
33897,Hart County,Kentucky,19035.0,1.2,10.51,-85.8845579,37.2921203
33898,Metcalfe County,Kentucky,10071.0,1.2,0.0,-85.6254484,36.9767017
33899,Monroe County,Kentucky,10650.0,1.2,18.78,-85.7284653,36.699465
33900,Barren County,Kentucky,44249.0,1.2,31.64,-85.925817,36.9584649
33901,Niagara County,New York,209281.0,19.9,350.72,-78.7676017,43.2042439
33902,Wyoming County,New York,39859.0,19.9,230.81,-78.2415228,42.7039813
33903,Livingston County,New York,62914.0,19.9,240.01,-77.7781416,42.7360902
33904,Genesee County,New York,57280.0,19.9,314.25,-78.1780196,43.0102726
33905,Monroe County,New York,741770.0,19.9,314.79,-77.6810141,43.150094
33906,Orleans County,New York,40352.0,19.9,307.3,-78.2272835,43.2244513
33907,Erie County,New York,918702.0,19.9,482.42,-78.7620327,42.7164263
33908,St. Mary's County,Maryland,113510.0,4.2,96.03,-76.5389973,38.206621
33909,Prince George's County,Maryland,909327.0,4.2,117.01,-76.8518695,38.803929
33910,District of Columbia,District of Columbia,705749.0,4.2,0.0,-77.03737669188929,38.90651435
33911,Charles County,Maryland,163257.0,4.2,124.96,-77.027847,38.4991611
33912,Montgomery County,Maryland,1050688.0,4.2,193.68,-77.2075612,39.1406267
33913,Schuyler County,New York,17807.0,14.7,168.47,-76.8691575,42.3903231
33914,Chemung County,New York,83456.0,14.7,346.29,-76.7725493,42.1384667
33915,Steuben County,New York,95379.0,14.7,296.71,-77.3750862,42.2359045
33916,Washington County,Maryland,151049.0,1.2,47.0,-77.710254,39.5893502
33917,Fulton County,Pennsylvania,14530.0,1.2,61.94,-78.1299624,39.9159664
33918,Franklin County,Pennsylvania,155027.0,1.2,57.41,-77.7485516,39.9259345
33919,Essex County,Massachusetts,789034.0,6.8,225.34,-70.9486776,42.6762973
33920,Rockingham County,New Hampshire,309769.0,6.8,212.74,-71.1003143,42.9966675
33921,Cecil County,Maryland,102855.0,4.9,72.92,-75.9381806,39.5729428
33922,Harford County,Maryland,255441.0,4.9,98.65,-76.3048991,39.548545
33923,New Castle County,Delaware,558753.0,4.9,162.86,-75.662956,39.6159851
33924,Fulton County,New York,53383.0,5.8,352.17,-74.4461771,43.1061507
33925,Montgomery County,New York,49221.0,5.8,266.15,-74.4099745,42.8941269
33926,Columbia County,Pennsylvania,64964.0,4.2,170.86,-76.4191791,41.0389186
33927,Luzerne County,Pennsylvania,317417.0,4.2,164.45,-75.9695233,41.1749635
33928,Wyoming County,Pennsylvania,26794.0,4.2,216.47,-76.019111,41.5179097
33929,Morris County,New Jersey,491845.0,8.4,282.81,-74.5601181,40.8679538
33930,Sussex County,New Jersey,140488.0,8.4,211.41,-74.6930393,41.133372
33931,Highland County,Virginia,2190.0,1.9,502.28,-79.5907978,38.3841897
33932,Buena Vista City,Virginia,6478.0,1.9,46.31,-79.9233707,37.2637487
33933,Rockbridge County,Virginia,22573.0,1.9,44.3,-79.4622597,37.8331804
33934,Staunton City,Virginia,24932.0,1.9,148.4,-76.32117,36.820293
33935,Waynesboro City,Virginia,22630.0,1.9,70.7,-77.330562,38.661235
33936,Augusta County,Virginia,75558.0,1.9,162.79,-79.1525761,38.1793809
33937,Lexington City,Virginia,7446.0,1.9,67.15,-79.44403560197063,37.77475645
33938,Franklin County,Massachusetts,70180.0,12.3,218.01,-72.6110645,42.5896205
33939,Worcester County,Massachusetts,830622.0,12.3,237.53,-71.8677242,42.3705781
33940,Harrison County,Kentucky,18886.0,0.0,52.95,-84.3216412,38.4355948
33941,Robertson County,Kentucky,2108.0,0.0,0.0,-84.0465647,38.513372
